Stock Ticker,Tweet Text,Sentiment,Tweet URL
$TSLA,"Ruh-roh, *someone's* first ex wife is dancing right up to the line, careful not to cross it. 

Allow me, society creating *likeable* sociopaths extends beyond TV and into the corporate business model.

Elon Musk IS a #SerialKillerCEO.

#TheSociopathicBusinessModel
$TSLA $TWTR",Negative,https://twitter.com/MelaynaLokosky/status/1526019773313650689
$SOFI,"SPAC darling $SOFI is getting slaughtered today ahead of earnings, which are due after market closes 📉",Negative,https://twitter.com/Stocktwits/status/1524049621076652032
$BRK.B,"why buy most other ETFs when we only need to buy $BRK.B?
#Berkshire #ETF #valueinvesting",Positive,https://twitter.com/myInvestingMuse/status/1524623909924253696
$AAPL,"“ Warren Buffet “ : worlds greatest & best  investor wants to buy more #Apple stock at current rates 

“ Micheal Burry “ : world’s 1 of the best trader is shorting #Apple at current market price

I think later one is going to go wrong here as shorting $AAPL after -20% is insane !",Positive,https://twitter.com/dishant2270/status/1526411185582936066
$Tsla,I will ONLY buy a Tesla How about YOU? $tsla,Positive,https://twitter.com/adamhoov/status/1525567461289930752?s=20&t=ffbCiXMc6hzUGyJUWdi-Pw
$BRK.B,"$BRK.B 
The BuffDog is buying stock all this time while everyone else be like…",Positive,https://twitter.com/NoGutsNoGlory57/status/1526350884468318208
$ONON,Is $ONON totally screwed on supply chain issues now?  Trading like it.,Negative,https://twitter.com/LSValue/status/1464253522959024140
$BRDS,"Premarket movers 📈👀
$PPSI +20%
$BRDS +35%
$MITQ +39%
$IDRA +60% 🚀",Positive,https://twitter.com/FaceTrades/status/1526537614337114113
$SE,"i have 2 PP exits in $WMT  n $SE shorts   both live still

so profit is assured",Positive,https://twitter.com/shaolintrader88/status/1526577467690983425
$FRGE,"$FRGE is Dead to me. 
Isn't building higher low anymore. https://t.co/FBhON50pd5",Negative,https://twitter.com/Capeya92/status/1526542701998620674?t=NItDoglJfhWpjyBBKhnPXA&s=19
$AUVI,$VUZI $LGVN $AUVI $VERU 📈📈📈,Positive,https://twitter.com/Glad2Be_TF/status/1526565259766546433
$ABBV,"$PG & $ABBV paying dividends today 💰

Long & strong on both 🔥",Positive,https://twitter.com/DrDividend47/status/1526281239329656833
$TSLA,"He’s also lying about what the CEO said. He said an external audit wasn’t possible, not that he wouldn’t share the info. 

Lawsuits and margin calls are inevitable.  Couldn’t happen to a better guy. 

And btw $TSLA is going to $410 at minimum",Negative,https://twitter.com/ImDavidDunn/status/1526482861221679104
$XBI,"It's not easy to invest in Biotechs.

$XBI is trending and down another 3.5% today.

Here's the yearly look 😬",Negative,https://twitter.com/Stocktwits/status/1516118234352820225
$BRK.B,"As a shareholder of $BRK.B, I demand a full letter on why Buffett bought $PARA, I mean seriously",Negative,https://twitter.com/BloomBudFox/status/1526345745342808064
$O,Been watching it for a while. Been checking net.un too. Feel like O is such a solid reit,Positive,https://twitter.com/tyugece/status/1525220384374677505
$BRDS,Good Morrrning Retail!!! Todays Plays: $BBIG $PPSI $MARA $SOFI $SLDB $DIDI $AMC $BRDS Good Luck 🍀,Positive,https://twitter.com/TraderMaker82/status/1526537056830341120
$TSLA,"What will 
@ElonMusk
 cheerleaders say if he backs out of his Twitter acquisition?

He says the deal is “on hold” now until after he can ascertain what percentage of Twitter’s daily active users are bots.

Or maybe until 
@Tesla
 stock goes back up. 🤔",Negative,https://twitter.com/FrankLuntz/status/1526254005722046464
$RIVN,"Rivian $RIVN provided strong production numbers last night, 2,553 vehicles produced in Q1.  The ramp will only get stronger from here w/ explosive growth ahead.  Plenty of cash to burn through as they grow.  This is like buying Tesla $TSLA back in 2012. Doubling my position today",Positive,https://twitter.com/stockstobuy/status/1511656970700394496
$RSX,"$RSX, Vaneck's Russian ETF, is down 30% since Friday.

Traders are keeping an eye on this one.",Negative,https://twitter.com/Stocktwits/status/1498307200560902146
$BRDS,"Early stock gainers showing volume 🌞
$IDRA 
$MITQ 
$BRDS 
$AUVI 
$PPSI 
Stop by to check the float & short interest
#stocks #premarket #stockstowatch #StockMarket",Positive,https://twitter.com/FloatChecker/status/1526540668482592771
$AUVI,I gave you $AUVI at 0.90 . Put some respect on my name . News out today . Always ahead! No need to “pump” !,Positive,https://twitter.com/BoredBilionaire/status/1526558204737425408
$TGT,Stay on Target? $TGT down 2% today. Earnings tomorrow. Investors nervous after Walmart this morning? $WMT down nearly 11%.,Negative,https://twitter.com/LaMonicaBuzz/status/1526606130654416896
$BRDS,"Nice print for $BRDS Size: 102620 Price: 1.25 Amount: $128,275.00 Time: 931
See more: https://tradewithalerts.com/last-print/BRDS
Join https://tradewithalerts.com/signup to get REAL TIME prints.
Runners 📈: https://bit.ly/2VYiZSa
Losers 📉: https://bit.ly/3wWw0sc
Gappers 🪜: https://bit.ly/3kEfjiV",Positive,https://twitter.com/TradeWithAlerts/status/1526555902849044480
