Stock Ticker,Tweet Text,Sentiment,Tweet URL
$TSLA,"Ruh-roh, *someone's* first ex wife is dancing right up to the line, careful not to cross it. 

Allow me, society creating *likeable* sociopaths extends beyond TV and into the corporate business model.

Elon Musk IS a #SerialKillerCEO.

#TheSociopathicBusinessModel
$TSLA $TWTR",Negative,https://twitter.com/MelaynaLokosky/status/1526019773313650689
$PARA,"Nice 9% pre market move for $para, pump my calls Uncle Buffett 🤑",Positive,https://twitter.com/option_oracle/status/1526484891881377792?t=wDZDLfRf1JdpQIZwGPBJzA&s=19
$HD,"I'm an investor in $LOW, but I have no problem saying $HD's long term outlook is as strong as its ever been IMO...",Positive,https://twitter.com/scottsinvesting/status/1526282212143792128
$TSLA,"Everyone knew you would back out of the deal when $tsla crashed and you almost had to pay back your margin loans. You should just tell the truth instead of manipulating your followers, it’s catching up with you.",Negative,https://twitter.com/Barnacules/status/1526489702932418560
$TSLA,"SELL EVERYTHING, BUY $TSLA 🚀🌕",Positive,https://twitter.com/valueanalyst1/status/1525519378992795648?s=21&t=fFKcVxTKSKT8Dcpg1Wva0Q
$TSLA,"I’ll pay $10,000 to the charity of 
@elonmusk
’s choice if 
@tesla
 open sources all the “Full Self Driving” data. 

But that won’t happen.

Because Musk knows the biggest fraud in public markets is his own.",Negative,https://twitter.com/PhenomenalPoto/status/1526482478164332545
$GLBE,$GLBE recovered from down 28% to even that’s so crazy LFG,Positive,https://twitter.com/NesQuickley/status/1526584628315836422
$TSLA,$TSLA down bad bc everyone realizing you are a megalomaniac child. Pay the tax and leave us be.,Negative,https://twitter.com/aaron_pride/status/1526461692397223937
$AMC,"The world's largest hedge fund, Bridgewater Associates, owned by Ray Dalio, has announced a stake in both $AMC & $GME.",Positive,https://twitter.com/search?q=%24amc&src=typeahead_click&f=top
$TSLA,"Hey 
@elonmusk
 
@garyblack00
 
@GerberKawasaki
 
@CathieDWood
 you guys seem to care about truth and transparency. Care to refute any of these claims that are pretty clearly laid out. I'm no expert, but seems like Elon and $TSLA are full of shit, and always have been. $TSLAQ 
@DOJCrimDiv",Negative,https://twitter.com/Zbrown1212/status/1526529788726464516
